iter	Passed	Remaining
0	0	56
1	1	55
2	2	75
3	3	80
4	4	87
5	5	90
6	7	93
7	8	95
8	9	95
9	10	94
10	11	94
11	12	93
12	13	92
13	15	92
14	16	91
15	17	90
16	18	89
17	19	88
18	20	87
19	21	85
20	22	84
21	23	83
22	24	82
23	25	81
24	26	79
25	27	78
26	28	77
27	29	76
28	30	75
29	31	74
30	32	73
31	33	71
32	34	70
33	35	69
34	36	68
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	45	56
45	46	55
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	52	46
53	53	45
54	54	44
55	54	43
56	55	42
57	56	40
58	57	39
59	58	38
60	59	37
61	59	36
62	60	35
63	61	34
64	62	33
65	62	32
66	63	31
67	64	30
68	64	29
69	65	28
70	66	27
71	66	26
72	67	24
73	68	23
74	68	22
75	69	21
76	69	20
77	70	19
78	70	18
79	71	17
80	72	16
81	72	15
82	73	14
83	73	14
84	74	13
85	74	12
86	75	11
87	75	10
88	76	9
89	76	8
90	77	7
91	77	6
92	78	5
93	78	5
94	79	4
95	79	3
96	80	2
97	80	1
98	81	0
99	81	0
