iter	Passed	Remaining
0	146	146172
1	147	73551
2	147	49113
3	148	37004
4	149	29742
5	150	24984
6	152	21613
7	153	19054
8	155	17083
9	156	15446
10	157	14121
11	158	13027
12	159	12111
13	160	11317
14	161	10627
15	162	10000
16	163	9436
17	164	8970
18	165	8566
19	167	8185
20	168	7832
21	169	7517
22	170	7224
23	171	6970
24	172	6724
25	173	6494
26	174	6284
27	175	6091
28	176	5905
29	177	5750
30	178	5593
31	180	5453
32	181	5309
33	182	5187
34	183	5057
35	184	4939
36	185	4826
37	186	4721
38	187	4621
39	188	4523
40	189	4431
41	190	4353
42	192	4274
43	193	4193
44	194	4123
45	195	4049
46	196	3981
47	197	3917
48	198	3851
49	199	3786
50	199	3719
51	200	3652
52	201	3600
53	202	3549
54	204	3506
55	205	3461
56	206	3418
57	208	3381
58	209	3339
59	210	3303
60	212	3264
61	213	3226
62	214	3190
63	215	3155
64	217	3121
65	218	3089
66	219	3054
67	220	3019
68	221	2992
69	222	2960
70	223	2929
71	224	2898
72	225	2866
73	226	2835
74	227	2802
75	228	2773
76	228	2744
77	229	2715
78	230	2688
79	231	2660
80	232	2633
81	232	2607
82	233	2577
83	233	2551
84	234	2526
85	235	2502
86	236	2478
87	236	2454
88	237	2430
89	238	2407
90	238	2384
91	239	2362
92	240	2340
93	240	2319
94	241	2298
95	241	2278
96	242	2257
97	243	2237
98	243	2218
99	244	2199
100	244	2180
101	245	2161
102	246	2143
103	246	2125
104	247	2109
105	247	2091
106	248	2075
107	249	2058
108	249	2042
109	250	2027
110	251	2011
111	251	1995
112	252	1980
113	252	1965
114	253	1950
115	254	1935
116	254	1920
117	255	1906
118	255	1892
119	256	1879
120	256	1866
121	257	1852
122	258	1839
123	258	1827
124	259	1815
125	259	1802
126	260	1790
127	260	1777
128	261	1766
129	262	1754
130	262	1742
131	263	1732
132	263	1720
133	264	1709
134	265	1698
135	265	1687
136	266	1677
137	266	1666
138	267	1656
139	267	1645
140	268	1635
141	268	1624
142	269	1614
143	269	1604
144	270	1594
145	270	1584
146	271	1574
147	271	1565
148	272	1556
149	273	1547
150	273	1538
151	274	1529
152	274	1521
153	275	1512
154	275	1504
155	276	1495
156	277	1487
157	277	1479
158	278	1471
159	278	1464
160	279	1455
161	279	1448
162	280	1440
163	281	1434
164	282	1427
165	282	1419
166	283	1412
167	283	1405
168	284	1398
169	284	1390
170	285	1384
171	286	1377
172	286	1371
173	287	1364
174	287	1357
175	288	1350
176	289	1344
177	289	1338
178	290	1331
179	290	1324
180	291	1318
181	292	1312
182	292	1306
183	293	1300
184	293	1294
185	294	1287
186	294	1282
187	295	1276
188	296	1270
189	296	1264
190	297	1258
191	297	1252
192	298	1246
193	298	1241
194	299	1235
195	299	1230
196	300	1225
197	301	1219
198	301	1214
199	302	1209
200	302	1203
201	303	1198
202	304	1193
203	304	1188
204	305	1183
205	305	1178
206	306	1173
207	306	1168
208	307	1164
209	308	1162
210	309	1158
211	310	1154
212	311	1149
213	311	1145
214	312	1140
215	312	1135
216	313	1131
217	314	1126
218	314	1122
219	315	1118
220	315	1113
221	316	1109
222	317	1105
223	317	1101
224	318	1097
225	319	1092
226	319	1088
227	320	1084
228	320	1080
229	321	1076
230	322	1072
231	322	1068
232	323	1064
233	323	1060
234	324	1056
235	325	1052
236	325	1048
237	326	1044
238	326	1040
239	327	1036
240	327	1032
241	328	1029
242	329	1026
243	330	1022
244	330	1019
245	331	1015
246	332	1012
247	332	1008
248	333	1004
249	333	1001
250	334	997
251	335	994
252	335	991
253	336	988
254	337	985
255	337	981
256	338	978
257	339	975
258	339	971
259	340	968
260	340	964
261	341	961
262	341	957
263	342	954
264	343	951
265	343	948
266	344	944
267	344	941
268	345	938
269	345	934
270	346	931
271	346	928
272	347	925
273	348	922
274	348	919
275	349	915
276	349	912
277	350	909
278	350	906
279	351	903
280	352	900
281	352	897
282	353	895
283	353	892
284	354	889
285	355	886
286	355	883
287	356	880
288	356	877
289	357	874
290	357	871
291	358	869
292	358	866
293	359	863
294	360	860
295	360	857
296	361	855
297	362	852
298	362	850
299	363	847
300	363	844
301	364	841
302	364	839
303	365	836
304	365	833
305	366	831
306	367	828
307	367	826
308	368	823
309	368	820
310	369	818
311	369	815
312	370	813
313	371	810
314	371	808
315	372	805
316	372	803
317	373	800
318	374	798
319	374	796
320	375	793
321	375	791
322	376	788
323	376	786
324	377	784
325	378	781
326	378	779
327	379	777
328	379	774
329	380	772
330	381	770
331	381	768
332	382	765
333	382	763
334	383	761
335	384	759
336	384	757
337	385	754
338	385	752
339	386	750
340	386	747
341	387	745
342	388	743
343	388	741
344	389	739
345	389	736
346	390	734
347	390	732
348	391	730
349	392	728
350	392	725
351	393	723
352	393	721
353	394	719
354	394	717
355	395	715
356	395	713
357	396	710
358	396	708
359	397	706
360	398	704
361	398	702
362	399	700
363	399	698
364	400	696
365	400	694
366	401	691
367	401	690
368	402	687
369	402	686
370	403	683
371	403	681
372	404	679
373	405	678
374	405	675
375	406	673
376	406	671
377	407	670
378	407	668
379	408	666
380	408	664
381	409	662
382	409	660
383	410	658
384	411	656
385	411	654
386	412	652
387	412	651
388	413	649
389	413	647
390	414	645
391	415	643
392	415	641
393	416	640
394	416	638
395	417	636
396	417	634
397	418	632
398	418	631
399	419	629
400	420	627
401	420	625
402	421	623
403	421	622
404	422	620
405	422	618
406	423	616
407	423	614
408	424	613
409	424	611
410	425	609
411	426	608
412	426	606
413	427	604
414	427	603
415	428	601
416	428	599
417	429	598
418	430	596
419	430	594
420	431	593
421	431	591
422	432	589
423	432	588
424	433	586
425	434	584
